canonical_id,sample_filename,airnet_psnr,bicubic_psnr,psnr_difference,airnet_ssim,bicubic_ssim,ssim_difference,hf_retention_ratio,airnet_gradient_energy,gt_gradient_energy,airnet_laplacian_energy,gt_laplacian_energy,detail_loss_classification,airnet_mae_residual
122,001369.npy,6.0459,21.1458,-15.0999,0.0044,0.6147,-0.6103,0.064325,0.00097787,0.47465029,0.00690251,0.04150753,Severe Detail Loss,0.47537
123,001390.npy,5.2614,23.7161,-18.4548,0.0208,0.3431,-0.3224,0.478472,0.00079018,0.06786688,0.00854989,0.00792345,Severe Detail Loss,0.50239
124,001400.npy,10.5855,27.3762,-16.7907,0.0305,0.7322,-0.7018,0.159321,0.00098432,0.12167813,0.00293318,0.006217,Severe Detail Loss,0.251245
125,001408.npy,14.9169,29.0676,-14.1507,0.1596,0.8528,-0.6932,0.108002,0.00083007,0.06481931,0.00163302,0.00695783,Severe Detail Loss,0.097791
126,001415.npy,4.583,19.4906,-14.9076,0.0071,0.6382,-0.6311,0.049838,0.00111376,0.8330462,0.00863139,0.07040999,Severe Detail Loss,0.518606
127,001434.npy,1.0764,21.9315,-20.855,0.021,0.2395,-0.2185,0.630319,0.00087856,0.17562956,0.02003282,0.01063303,Severe Detail Loss,0.858568
128,001438.npy,7.847,24.2568,-16.4097,0.0229,0.4775,-0.4546,0.227569,0.0009235,0.14717823,0.00496416,0.00776382,Severe Detail Loss,0.376534
129,001439.npy,8.1144,25.4203,-17.306,0.0234,0.5597,-0.5362,0.19222,0.00090454,0.16110374,0.00464351,0.00858722,Severe Detail Loss,0.360722
130,001443.npy,7.8564,23.0505,-15.1941,0.013,0.5803,-0.5673,0.190626,0.00098515,0.17140517,0.0049247,0.00991488,Severe Detail Loss,0.377362
131,001445.npy,16.6171,30.2942,-13.6771,0.2881,0.9238,-0.6357,0.075129,0.00083862,0.15097083,0.0014735,0.00593013,Severe Detail Loss,0.078192
132,001478.npy,10.1379,25.4813,-15.3434,0.0526,0.7093,-0.6567,0.130206,0.0010049,0.17874929,0.00320574,0.00854506,Severe Detail Loss,0.249089
133,001479.npy,10.5031,27.1863,-16.6832,0.0504,0.752,-0.7017,0.127028,0.00097997,0.16593656,0.00299633,0.00825898,Severe Detail Loss,0.246061
134,001482.npy,2.1722,21.3272,-19.1551,0.0125,0.3676,-0.355,0.446027,0.00084675,0.25627276,0.01576769,0.01187933,Severe Detail Loss,0.758257
135,001484.npy,4.075,20.9752,-16.9002,0.0395,0.3597,-0.3202,0.429403,0.00096975,0.16025129,0.0103531,0.00815849,Severe Detail Loss,0.556298
136,001485.npy,3.5044,20.225,-16.7206,0.0271,0.2943,-0.2672,0.490262,0.00103628,0.13861281,0.01176848,0.00812747,Severe Detail Loss,0.602666
137,001495.npy,5.0192,21.9003,-16.8811,0.1177,0.5533,-0.4356,0.342417,0.00085082,0.15738237,0.00804404,0.00734559,Severe Detail Loss,0.403276
138,001496.npy,4.1341,22.6683,-18.5341,0.0265,0.4445,-0.418,0.265133,0.00092467,0.22602552,0.00998363,0.01447056,Severe Detail Loss,0.54083
139,001500.npy,6.7354,23.5589,-16.8235,0.0139,0.4041,-0.3902,0.20554,0.00088396,0.09273621,0.00631285,0.01879396,Severe Detail Loss,0.431627
140,001515.npy,15.8083,25.4152,-9.6069,0.0436,0.7334,-0.6898,0.024378,0.00107761,0.21209434,0.00158445,0.03214922,Severe Detail Loss,0.121343
141,001520.npy,4.8658,21.6793,-16.8135,0.0136,0.4974,-0.4838,0.369068,0.00086937,0.17584515,0.00893197,0.00836746,Severe Detail Loss,0.533648
142,001522.npy,7.502,25.4573,-17.9553,0.0188,0.6505,-0.6317,0.371606,0.00091018,0.10539851,0.00516806,0.00576782,Severe Detail Loss,0.370397
143,001527.npy,9.82,26.235,-16.4151,0.0558,0.568,-0.5123,0.61509,0.00092828,0.03134691,0.00332232,0.00234029,Severe Detail Loss,0.24816
144,001528.npy,5.8276,20.5605,-14.7329,0.0125,0.4212,-0.4087,0.102692,0.00100866,0.45665085,0.00760376,0.02082092,Severe Detail Loss,0.49716
