canonical_id,sample_filename,AIR-Net PSNR,Bicubic PSNR,PSNR Difference,AIR-Net SSIM,Bicubic SSIM,SSIM Difference,Detail Loss Classification,AIR-Net PSNR Win,Bicubic PSNR Win,AIR-Net SSIM Win
254,002598.npy,8.8329,23.5574,-14.7245,0.0291,0.771,-0.7419,Severe Detail Loss,False,True,False
255,002604.npy,2.8821,21.1305,-18.2484,0.0138,0.2777,-0.2639,Severe Detail Loss,False,True,False
256,002612.npy,3.6254,20.6445,-17.0191,0.0179,0.3149,-0.2971,Severe Detail Loss,False,True,False
257,002613.npy,3.0771,20.6,-17.5228,0.0246,0.3379,-0.3133,Severe Detail Loss,False,True,False
258,002625.npy,4.0919,18.9862,-14.8943,0.0086,0.2232,-0.2146,Severe Detail Loss,False,True,False
259,002640.npy,4.2314,20.9036,-16.6723,0.0098,0.5103,-0.5005,Severe Detail Loss,False,True,False
260,002660.npy,5.0064,21.0494,-16.043,0.0179,0.3975,-0.3796,Severe Detail Loss,False,True,False
261,002675.npy,6.1409,22.3811,-16.2402,0.0142,0.4832,-0.469,Severe Detail Loss,False,True,False
262,002680.npy,10.4446,24.8473,-14.4028,0.0595,0.7347,-0.6752,Severe Detail Loss,False,True,False
263,002690.npy,4.9233,21.5637,-16.6404,0.0522,0.5047,-0.4525,Severe Detail Loss,False,True,False
264,002693.npy,0.5883,19.9666,-19.3783,0.0172,0.1409,-0.1237,Severe Detail Loss,False,True,False
265,002695.npy,6.0005,20.0439,-14.0434,0.0052,0.2961,-0.291,Severe Detail Loss,False,True,False
266,002729.npy,1.367,19.7441,-18.3771,0.0177,0.1379,-0.1201,Severe Detail Loss,False,True,False
267,002731.npy,2.0659,21.1134,-19.0475,0.0177,0.2111,-0.1934,Severe Detail Loss,False,True,False
268,002734.npy,2.398,19.5637,-17.1657,0.0156,0.3016,-0.286,Severe Detail Loss,False,True,False
269,002747.npy,10.1427,25.2739,-15.1312,0.0242,0.5414,-0.5172,Severe Detail Loss,False,True,False
270,002767.npy,7.3158,23.8522,-16.5364,0.0277,0.3458,-0.3181,Severe Detail Loss,False,True,False
271,002773.npy,6.4176,24.1657,-17.7481,0.0153,0.6313,-0.616,Severe Detail Loss,False,True,False
272,002777.npy,11.5606,22.2062,-10.6457,0.0275,0.7012,-0.6737,Severe Detail Loss,False,True,False
273,002790.npy,6.0716,20.7118,-14.6402,0.0051,0.456,-0.4509,Severe Detail Loss,False,True,False
274,002796.npy,2.3044,20.1334,-17.829,0.0141,0.2614,-0.2473,Severe Detail Loss,False,True,False
275,002799.npy,4.5436,22.303,-17.7594,0.0137,0.2744,-0.2607,Severe Detail Loss,False,True,False
276,002811.npy,16.0456,27.8984,-11.8528,0.0415,0.6297,-0.5882,Severe Detail Loss,False,True,False
277,002814.npy,5.1561,23.1961,-18.04,0.0228,0.5978,-0.575,Severe Detail Loss,False,True,False
278,002824.npy,5.7236,20.9498,-15.2262,0.0146,0.558,-0.5434,Severe Detail Loss,False,True,False
279,002842.npy,1.546,20.8641,-19.3181,0.0158,0.2418,-0.226,Severe Detail Loss,False,True,False
280,002848.npy,6.0032,23.3829,-17.3797,0.0197,0.3988,-0.3791,Severe Detail Loss,False,True,False
281,002853.npy,10.8371,20.7249,-9.8877,0.0433,0.7246,-0.6813,Severe Detail Loss,False,True,False
282,002863.npy,7.2524,22.69,-15.4377,0.0077,0.6795,-0.6718,Severe Detail Loss,False,True,False
283,002869.npy,5.5045,23.0208,-17.5163,0.0286,0.3808,-0.3522,Severe Detail Loss,False,True,False
284,002879.npy,9.7271,24.0885,-14.3615,0.0307,0.6834,-0.6527,Severe Detail Loss,False,True,False
285,002888.npy,4.1563,20.9066,-16.7503,0.0144,0.363,-0.3486,Severe Detail Loss,False,True,False
286,002896.npy,6.4983,22.3974,-15.8991,0.0175,0.4627,-0.4452,Severe Detail Loss,False,True,False
287,002904.npy,8.3418,23.9069,-15.5651,0.0351,0.5971,-0.562,Severe Detail Loss,False,True,False
288,002911.npy,12.6043,27.403,-14.7986,0.0227,0.5738,-0.5511,Severe Detail Loss,False,True,False
